date,price
2024-02-19,0.5569989508396108
2024-02-20,0.5623610246980961
2024-02-21,0.5632911734985222
2024-02-22,0.5494809981825469
2024-02-23,0.5411904079951343
2024-02-24,0.5348561201928979
2024-02-25,0.5447789067331453
2024-02-26,0.5426078981817037
2024-02-27,0.5513003044164156
2024-02-28,0.5873753685082636
2024-02-29,0.5765292216052678
2024-03-01,0.5872867206934944
2024-03-02,0.6016177948889795
2024-03-03,0.6435751496240234
2024-03-04,0.6266994908696154
2024-03-05,0.6511778302883091
2024-03-06,0.5952832703420226
2024-03-07,0.6129159478882317
2024-03-08,0.628380182183506
2024-03-09,0.6214824363419392
2024-03-10,0.6225142290687391
2024-03-11,0.6085560455287963
2024-03-12,0.717049252482876
2024-03-13,0.6886932062458541
2024-03-14,0.6896545611989557
2024-03-15,0.6691754077171835
2024-03-16,0.6342637439068659
2024-03-17,0.6023073384430556
2024-03-18,0.6191470281067634
2024-03-19,0.6539066224226806
2024-03-20,0.5852400045025551
2024-03-21,0.6117015793252986
2024-03-22,0.6413290562765901
2024-03-23,0.6105734569688421
2024-03-24,0.6181207994500303
2024-03-25,0.6337118239432603
2024-03-26,0.6400376129032882
2024-03-27,0.6328659194902784
2024-03-28,0.612301666174284
2024-03-29,0.624080729099987
2024-03-30,0.6305848703146155
2024-03-31,0.6210104087173386
2024-04-01,0.6289626324319613
2024-04-02,0.6121526997891189
2024-04-03,0.5852372065222671
2024-04-04,0.5753905054850376
2024-04-05,0.5934624401692647
2024-04-06,0.5880582489371499
2024-04-07,0.593399180755894
2024-04-08,0.5946706032478942
2024-04-09,0.6155434564282665
2024-04-10,0.6136939377820809
2024-04-11,0.6173727496999488
2024-04-12,0.6088535069747201
2024-04-13,0.5484622507114363
2024-04-14,0.4808669999524838
2024-04-15,0.5051394506387745
2024-04-16,0.49745578757191317
2024-04-17,0.4964339164181767
2024-04-18,0.4947978579065567
2024-04-19,0.502630196282461
2024-04-20,0.5043368864906008
2024-04-21,0.5286489200145418
2024-04-22,0.5242693710717946
2024-04-23,0.5560803600247968
2024-04-24,0.5453395286462999
2024-04-25,0.5271463755065346
2024-04-26,0.5254278109474143
2024-04-27,0.5259415260233568
2024-04-28,0.5185389193383645
2024-04-29,0.5100104939611708
2024-04-30,0.5148709146825781
2024-05-01,0.5001775403025187
2024-05-02,0.5160164931063639
